dates,dhaka,chittagong,comilla,mymensingh,sylhet,khulna,rajshahi,barishal,rangpur,month
2014-01-01,1763.0,565.0,407.0,327.0,243.0,635.0,555.0,115.0,312.0,1
2014-01-02,1794.0,530.0,416.0,343.0,251.0,649.0,552.0,112.0,307.0,1
2014-01-03,1851.0,569.0,426.0,327.0,239.0,635.0,533.0,114.0,312.0,1
2014-01-04,1608.0,507.0,395.0,341.0,258.0,606.0,518.0,110.0,299.0,1
2014-01-05,1794.0,551.0,408.0,344.0,248.0,637.0,532.0,118.0,308.0,1
2014-01-06,1954.0,550.0,404.0,332.0,254.0,593.0,519.0,109.0,292.0,1
2014-01-07,1860.0,553.0,413.0,341.0,259.0,629.0,539.0,114.0,298.0,1
2014-01-08,1822.0,546.0,407.0,337.0,255.0,620.0,529.0,116.0,286.0,1
2014-01-09,1825.0,545.0,390.0,356.0,244.0,627.0,550.0,107.0,300.0,1
2014-01-10,1881.0,564.0,402.0,341.0,261.0,626.0,552.0,116.0,300.0,1
2014-01-11,1636.0,498.0,403.0,353.0,279.0,591.0,531.0,107.0,298.0,1
2014-01-12,1902.0,541.0,396.0,367.0,271.0,644.0,567.0,116.0,301.0,1
2014-01-13,1916.0,552.0,392.0,365.0,277.0,651.0,579.0,117.0,317.0,1
2014-01-14,1974.0,549.0,388.0,357.0,266.0,652.0,587.0,116.0,316.0,1
2014-01-15,1824.0,520.0,417.75,366.0,266.0,628.0,571.0,113.0,319.0,1
2014-01-16,2003.0,564.0,403.0,349.0,274.0,656.0,578.0,113.0,319.0,1
2014-01-17,1965.0,552.0,407.0,363.0,284.0,661.0,602.0,111.0,327.0,1
2014-01-18,1710.0,516.0,412.0,353.0,256.0,626.0,563.0,107.0,312.0,1
2014-01-19,1878.0,524.0,405.0,361.0,264.75,667.0,612.0,120.0,330.0,1
2014-01-20,1992.0,548.0,404.0,377.0,255.0,666.0,619.0,118.0,343.0,1
2014-01-21,1985.0,567.0,417.0,383.0,273.0,665.0,633.0,116.0,355.0,1
2014-01-22,1987.0,558.0,419.0,387.0,272.0,669.0,628.0,115.0,341.0,1
2014-01-23,2000.0,545.0,407.0,375.0,262.0,641.0,614.0,117.0,343.0,1
2014-01-24,1995.0,584.0,402.0,379.0,289.0,672.0,636.0,116.0,354.0,1
2014-01-25,1760.0,516.0,396.0,370.0,256.0,629.0,611.0,112.0,340.0,1
2014-01-26,1966.0,569.0,399.0,374.0,268.0,661.0,642.0,120.0,348.0,1
2014-01-27,1872.0,587.0,367.0,380.0,293.0,667.0,618.0,120.0,349.0,1
2014-01-28,2003.0,544.0,402.0,388.0,268.0,696.0,644.0,117.0,336.0,1
2014-01-29,1947.0,558.0,438.0,399.0,256.0,673.0,647.0,119.0,364.0,1
2014-01-30,2011.0,582.0,387.0,387.0,272.0,668.0,630.0,118.0,359.0,1
2014-01-31,1996.0,574.0,405.0,373.0,256.0,656.0,630.0,112.0,365.0,1
2014-02-01,1719.0,519.0,409.5,379.0,255.0,615.0,617.0,114.0,363.0,2
2014-02-02,1961.0,580.0,407.0,403.0,272.0,676.0,647.0,126.0,355.0,2
2014-02-03,1875.0,522.0,415.0,385.0,260.0,651.0,625.0,112.0,362.0,2
2014-02-04,2012.0,564.0,423.0,386.0,277.0,678.0,642.0,122.0,365.0,2
2014-02-05,2001.0,602.0,420.0,393.0,276.0,660.0,630.0,118.0,358.0,2
2014-02-06,2005.0,578.0,422.0,373.0,274.0,668.0,653.0,122.0,363.0,2
2014-02-07,2016.0,585.0,424.0,389.0,266.0,681.0,643.0,121.0,348.0,2
2014-02-08,1737.0,517.0,409.0,369.0,266.0,633.0,610.0,108.0,348.0,2
2014-02-09,1950.0,586.0,401.0,390.0,275.0,651.0,647.0,125.0,370.0,2
2014-02-10,2048.0,585.0,428.0,385.0,293.0,678.0,668.0,124.0,376.0,2
2014-02-11,2018.5,594.5,427.0,395.5,280.0,667.0,666.0,123.5,358.0,2
2014-02-12,1989.0,604.0,426.0,406.0,267.0,656.0,664.0,123.0,340.0,2
2014-02-13,2067.0,609.0,439.0,402.0,273.0,626.0,685.0,122.0,376.0,2
2014-02-14,2039.0,584.0,411.0,390.0,278.0,668.0,687.0,118.0,374.0,2
2014-02-15,1683.0,525.0,421.0,385.0,269.0,623.0,607.0,111.0,303.0,2
2014-02-16,1972.0,539.0,429.0,393.25,257.0,646.0,483.0,120.0,302.0,2
2014-02-17,1673.0,577.75,429.0,323.0,238.0,667.75,487.0,121.25,322.0,2
2014-02-18,1947.0,546.0,439.0,360.0,262.0,649.0,560.0,118.0,336.0,2
2014-02-19,1915.0,557.0,416.0,358.0,243.0,655.0,576.0,115.0,333.0,2
2014-02-20,1953.0,556.0,415.0,377.0,264.0,656.0,584.0,112.0,335.0,2
2014-02-21,1998.0,586.0,440.0,381.0,245.0,669.0,586.0,118.0,358.0,2
2014-02-22,1644.0,501.0,405.0,381.0,267.0,608.0,559.0,111.0,342.0,2
2014-02-23,1949.0,586.0,416.0,383.0,276.0,664.0,618.0,120.0,359.0,2
2014-02-24,2045.0,606.0,435.0,375.0,269.0,667.0,617.0,123.0,361.0,2
2014-02-25,2106.0,572.0,433.0,386.0,261.0,669.0,633.0,118.0,352.0,2
2014-02-26,2156.5,592.5,434.5,399.0,268.5,681.5,646.0,121.5,370.0,2
2014-02-27,2207.0,613.0,436.0,412.0,276.0,694.0,659.0,125.0,388.0,2
2014-02-28,2113.0,620.0,449.0,385.0,274.0,667.0,625.0,117.0,363.0,2
2014-03-01,1839.0,542.0,387.0,381.0,259.0,641.0,564.0,115.0,354.0,3
2014-03-02,2056.0,625.0,443.0,397.0,289.0,696.0,556.0,119.0,350.0,3
2014-03-03,2094.0,598.0,438.0,362.0,265.0,675.0,600.0,126.0,364.0,3
2014-03-04,2116.0,592.0,422.0,394.0,264.0,639.0,642.0,128.0,362.0,3
2014-03-05,2119.0,600.0,460.0,403.0,285.0,707.0,659.0,126.0,383.0,3
2014-03-06,2179.0,618.0,442.0,412.0,285.0,668.0,649.0,119.0,376.0,3
2014-03-07,2178.0,612.0,451.0,379.0,279.0,704.0,671.0,123.0,381.0,3
2014-03-08,1973.1,567.4,430.0,404.0,259.0,668.55,650.0,116.0,341.0,3
2014-03-09,2114.0,593.0,456.0,413.0,276.0,708.0,686.0,126.0,370.0,3
2014-03-10,2082.0,607.0,432.0,374.0,274.0,704.0,666.0,123.0,356.0,3
2014-03-11,2222.0,611.0,389.0,402.0,300.0,692.0,677.0,125.0,369.0,3
2014-03-12,2231.0,617.0,423.5,406.5,295.0,690.5,693.0,127.5,373.0,3
2014-03-13,2240.0,623.0,458.0,411.0,290.0,689.0,709.0,130.0,377.0,3
2014-03-14,2316.0,658.0,476.0,420.0,277.65,731.0,696.0,127.0,378.0,3
2014-03-15,2059.0,604.75,453.0,403.0,291.0,670.0,675.0,120.0,375.0,3
